1482	49.000
306	7.700
984	6.900
1820	3.000
1898	1.400
1978	11.000
2059	0.600
3542	2.700
2216	0.700
3201	0.500
2227	0.700
3211	1.000
1505	3.900
2499	1.100
3179	5.600
3484	4.700
4967	7.100
1559	1.300
2554	0.400
3541	0.900
5022	5.400
1552	1.800
1635	0.900
1791	1.500
2627	1.000
3613	0.400
5095	3.100
1871	0.500
1951	2.000
2946	0.900
3625	1.300
3930	2.600
5414	3.000
2437	0.300
3431	1.600
4415	1.700
2604	0.900
2684	1.500
3598	0.400
4582	0.800
336	2.700
1040	10.800
1638	0.800
2211	0.500
2266	0.130
1474	0.29
